rank_60d,ticker,contract,exchange,last_date,last_close,volatility_20d_pct,volatility_60d_pct,volatility_126d_pct,atr_14_pct,mean_abs_return_60d_pct,max_abs_return_60d_pct,max_drawdown_126d_pct,avg_dollar_volume_20d_m,bybit_turnover_24h_usdt,bybit_open_interest_usdt,bybit_spread_bps,bybit_funding_rate_pct
1,AXTI,AXTIUSDT,NASDAQ,2026-08-21,70.73999786376953,201.91653552171988,169.68268571423,173.44126586769548,14.787317036797024,8.632220575617715,28.738819925723135,-73.74849056307346,954.3958499386788,829008.9067,1781810.78,2.9638411381144083,0.016122
2,AEHR,AEHRUSDT,NASDAQ,2026-08-21,101.7300033569336,157.15959664251838,151.302413184403,141.17339640795376,13.5368697618956,7.632407225899798,27.85677725146527,-43.90118330873314,267.10738033931733,138904.8396,213863.21,21.37948587426763,-0.0007869999999999999
3,AAOI,AAOIUSDT,NASDAQ,2026-08-21,124.81999969482422,157.12830561091326,146.9985766134609,159.82762795267058,12.870343975030767,7.573871390191337,19.435628324361076,-65.70148160033573,1642.8811790192033,1057465.2264,1315579.85,4.521000045211029,0.0
4,SNDK,SNDKUSDT,NASDAQ,2026-08-21,1596.0799560546875,148.251686247145,138.89265173603525,117.74635367999129,9.678440353879001,7.063557979136746,25.99395037665051,-56.4929329915016,23481.94810663208,63507920.3112,25874481.82,0.06522455182573894,0.051335
5,000660.KS,SKHYNIXUSDT,KRX,2026-08-24,1671000.0,149.4177411226151,127.71807745367613,111.56492981603101,10.072886345097709,6.190804079293978,29.954614220877463,-54.71051730044536,8871613.68005,55444157.4785,22902691.24,0.08285999560834488,-0.012046
6,042700.KS,HANMIUSDT,KRX,2026-08-24,209000.0,117.16705941438632,127.03505576745624,121.47379446602334,8.654717216644473,5.910777826237066,29.879518072289144,-59.072039072039075,155299.16704,94736.7184,28802.41,19.131180525777093,0.0
7,FLNC,FLNCUSDT,NASDAQ,2026-08-21,11.34000015258789,88.96913826014944,126.47199506462957,119.31811963215442,10.139339453374888,5.686615718206692,43.80297047337305,-59.36940087930754,107.73308306229592,37408.888,357554.25,8.900756564307777,0.0
8,AMC,AMCUSDT,NYSE,2026-08-21,2.549999952316284,70.37445964534975,123.63899083308038,100.45523376563106,7.001128029905533,5.563472155001045,26.804121937581037,-39.22261219153016,72.25390710978031,233811.2469,28438.82,15.7170923379175,-0.018393
9,BE,BEUSDT,NYSE,2026-08-21,201.4499969482422,118.59876949188737,122.33798273484517,116.84725668305647,11.207736753913341,5.7937041937016005,26.485493201335885,-52.65288503392759,3452.0613392066193,708790.1844,732943.45,5.627893888618107,0.0
10,SMCI,SMCIUSDT,NASDAQ,2026-08-21,37.2400016784668,95.45936670553526,122.01797656438103,116.39864846961183,6.62575831328362,5.3484736497761505,27.977359996665896,-52.50149333579892,1873.5972565499305,218897.3359,723198.95,5.4734537493147295,0.0
11,066570.KS,LGELECTRONICSUSDT,KRX,2026-08-24,199800.0,84.6007284704409,121.19275777198928,110.98063291388418,7.144000721967096,5.435605189251024,29.933479643192197,-62.29299526292015,223874.17899273985,92416.7706,30000.64,17.314818021262596,0.0
12,POET,POETUSDT,NASDAQ,2026-08-21,8.25,101.49720473356905,119.75477066179138,174.9971592031631,8.859678924271927,5.7409182097919125,23.385012872139377,-69.0325718032855,101.88978992475509,506095.8839,228926.77,44.58756502353401,0.0
13,MRVL,MRVLUSDT,NASDAQ,2026-08-21,237.0399932861328,96.35237138831964,118.5930333445866,95.68390294021889,7.747358617065436,5.751795038490025,32.52063345268355,-48.34867016630264,5086.386033369522,1338515.8717,5016478.7,2.614151272220385,0.0
14,ASTS,ASTSUSDT,NASDAQ,2026-08-21,68.6500015258789,80.21732789370712,113.74720326733978,110.04388067489661,7.689591259811926,5.504086930403623,21.441568018431,-60.154782298841134,770.4615904215241,292861.3337,497676.4,25.348542458808872,0.000406
15,COHR,COHRUSDT,NYSE,2026-08-21,289.5199890136719,137.04253851572363,112.83648031911196,98.31708223448766,11.170612512336694,5.496758023246065,17.632962752323998,-47.98425930983051,2436.316324787903,559349.5022,842173.9,5.412329286114999,0.0053820000000000005
16,ALAB,ALABUSDT,NASDAQ,2026-08-21,284.9700012207031,107.06624776840582,111.18941563550548,100.95658008274873,10.377844079808336,5.409325655667748,20.00079917096398,-48.29613449266689,1474.004727680664,48967.9785,561151.32,24.93630400607136,0.019497
17,005930.KS,SAMSUNGEMUSDT,KRX,2026-08-24,257000.0,129.95182880735126,110.01870825749629,94.60084025000879,8.454370698003943,5.495940408948218,26.811594202898558,-42.833575022000524,7578115.49685,34629.3601,68746.17,47.411261223462084,0.0
18,CRWV,CRWVUSDT,NASDAQ,2026-08-21,87.8499984741211,138.11461777323132,108.32559431554796,99.23078299926605,9.177631233585926,5.11808050258735,21.50608664367981,-55.92114684876359,2992.4925073101426,305204.4643,1119981.08,3.4792693534359107,0.005163
19,FLY,FLYUSDT,NASDAQ,2026-08-21,24.450000762939453,86.05295371097776,105.79736172119598,110.2967729917532,8.344781670020451,5.072666514807833,19.050033772231856,-69.6650234041823,77.4533176511383,146006.3485,179588.31,12.322858903266024,0.0
20,MU,MUUSDT,NASDAQ,2026-08-21,966.780029296875,97.17104651990284,104.78674390042644,93.95082660948843,6.903269568490819,5.0447386607180285,18.357235878826963,-39.095418440023124,34550.770407652584,10547094.9106,14554281.47,1.0680907877159846,0.0
21,WDC,WDCUSDT,NASDAQ,2026-08-21,459.4400024414063,100.70769664896892,103.83011917279839,87.02251079259064,9.388251075576134,5.225013847426997,16.094370134809054,-41.800785393242975,4157.819676139221,677523.3762,1734058.55,5.355947333184759,0.071548
22,CRDO,CRDOUSDT,NASDAQ,2026-08-21,230.57000732421875,108.51675115994644,103.17535753152174,102.01130946992262,9.532777685326312,5.461729890332239,13.316430143250324,-41.342720020982604,1149.7876728568267,141253.6374,820177.62,11.552988224839781,-0.033481
23,LITE,LITEUSDT,NASDAQ,2026-08-21,866.7100219726562,119.8540491885814,102.80447965345101,102.7492210589098,9.344042156206887,5.433084972692317,15.089236877618205,-42.801660338988,4384.901667990417,488765.6609,1370356.67,2.658160552897725,0.0
24,TSEM,TSEMUSDT,NASDAQ,2026-08-21,222.58999633789065,108.08490553978191,100.51489433736684,94.82698982964878,9.297500169560259,5.068715624904831,12.414825265578777,-40.71642962931713,474.83804007873533,343994.6334,94293.08,9.117016912065854,0.0
25,GLW,GLWUSDT,NYSE,2026-08-21,149.83999633789062,89.36015693274939,99.80982002101698,88.02973668027718,7.75250655425935,4.986241101228677,15.670662253525336,-51.484218441358486,2007.1777734077455,106435.1244,422962.67,6.21139445805607,0.0
26,603986.SS,GIGADEVICEUSDT,SSE,2026-08-24,382.5,89.24063981001855,99.187872999006,84.59142357171142,8.735097502692305,5.183510710908785,10.000744666469608,-59.4357154482887,23669.5258833566,111349.9672,468146.09,16.531658125310205,0.0
27,ONDS,ONDSUSDT,NASDAQ,2026-08-21,8.710000038146973,96.01623177043068,98.87634014020438,93.99811626350612,7.645738112235599,4.602021007697448,22.6851830184869,-51.95139814414135,656.0780110675382,80796.3896,501926.23,12.800372374470252,0.0
28,ARM,ARMUSDT,NASDAQ,2026-08-21,243.32000732421875,87.99858756594928,98.32177019142428,93.86492836277999,8.589066018481248,4.867556142886201,17.359658840383084,-48.825830846393025,1367.4459854187012,402929.7904,1371483.22,12.587588637602607,0.042126000000000004
29,TER,TERUSDT,NASDAQ,2026-08-21,375.739990234375,86.45504494038454,96.3237127758889,89.33105320342518,7.665579977520618,4.7831438750479505,14.426594672661452,-33.98437374345365,1325.6367594737244,928402.2424,945359.95,17.474879860200588,0.24307199999999998
30,DELL,DELLUSDT,NYSE,2026-08-21,442.0799865722656,82.66155698033253,95.48031191863413,84.41602151014311,6.8790049636196695,4.41999490565256,32.758240852375465,-20.630525182459436,2566.2014480331422,1543783.6846,1377948.72,3.662081435536495,0.0
31,USAR,USARUSDT,NASDAQ,2026-08-21,19.26000022888184,95.96710262470607,94.37591462250286,99.70585681287206,7.430788734256005,4.831353358143498,17.08487454960005,-57.42671214978563,224.20886359093666,1139778.234,363682.62,10.62699256110498,0.0
32,HIMS,HIMSUSDT,NYSE,2026-08-21,33.779998779296875,105.83484894486878,91.15273796526743,102.75246503999358,7.002737835249037,4.39560664326747,14.733969098870137,-34.69174295397093,432.0743881897736,32940.4796,159336.3,23.988005997000986,0.0
